Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,34.000000,34.000000,32.910000,33.349998,33.090733,264900
2020-01-03,32.730000,33.091999,32.580002,32.680000,32.425945,188800
2020-01-06,32.470001,33.119999,32.220001,33.076000,32.818867,116400
2020-01-07,33.169998,33.618999,32.919998,33.349998,33.090733,105300
2020-01-08,33.314999,34.020000,33.279999,33.830002,33.567005,149500
2020-01-09,34.220001,34.419998,34.000000,34.160000,33.894440,112700
2020-01-10,34.349998,34.610001,34.091000,34.125000,33.859711,120900
2020-01-13,34.500000,34.683998,33.900002,34.410000,34.142494,252800
2020-01-14,34.410000,35.076000,34.049999,34.779999,34.509617,157800
2020-01-15,34.770000,35.520000,34.770000,35.160000,34.886665,321500
2020-01-16,35.709999,35.720001,35.179001,35.720001,35.442310,173700
2020-01-17,35.950001,35.950001,34.950001,35.049999,34.777519,183900
2020-01-21,35.169998,35.250000,34.534000,34.590000,34.321095,193700
2020-01-22,34.720001,35.020000,34.591999,34.750000,34.479851,124600
2020-01-23,34.889999,34.910000,34.187000,34.360001,34.092884,127700
2020-01-24,34.595001,34.740002,33.520000,33.700001,33.438015,230300
2020-01-27,33.340000,34.000000,33.180000,33.750000,33.487625,227700
2020-01-28,34.080002,34.259998,33.799999,33.908001,33.644398,200000
2020-01-29,34.150002,34.278999,33.907001,34.040001,33.775372,78600
2020-01-30,33.810001,33.999001,33.185001,33.450001,33.189960,91800
2020-01-31,33.360001,33.360001,32.437000,32.709999,32.455711,183500
2020-02-03,32.990002,33.189999,32.789001,33.180000,32.922058,144500
2020-02-04,33.820000,34.139999,33.562000,34.089001,33.823990,187000
2020-02-05,34.770000,34.880001,34.347000,34.709999,34.440163,228600
2020-02-06,35.130001,35.369999,34.580002,35.270000,34.995808,203700
2020-02-07,35.400002,35.439999,34.720001,34.720001,34.450085,268000
2020-02-10,34.930000,35.730000,34.820000,35.730000,35.452232,263200
2020-02-11,36.169998,36.279999,35.563999,35.959999,35.680443,344100
2020-02-12,36.279999,36.439999,35.799999,36.389999,36.107101,223500
2020-02-13,36.400002,36.939999,36.099998,36.540001,36.255936,156600
2020-02-14,36.830002,37.119999,36.439999,36.860001,36.573448,171600
2020-02-18,37.029999,37.029999,36.365002,36.959999,36.672668,209100
2020-02-19,37.220001,37.919998,36.830002,37.630001,37.337463,325600
2020-02-20,37.419998,37.419998,36.450001,37.139999,36.851273,333700
2020-02-21,36.840000,36.992001,36.150002,36.410000,36.126945,240900
2020-02-24,35.230000,35.466999,34.401001,34.869999,34.598919,330200
2020-02-25,35.279999,35.279999,33.694000,34.099998,33.834904,312000
2020-02-26,34.360001,35.029999,33.799999,34.250000,33.983738,241800
2020-02-27,34.000000,35.209999,33.000000,34.020000,33.755527,351500
2020-02-28,32.849998,34.500000,32.827999,34.389999,34.122650,345500
2020-03-02,34.779999,34.962002,33.939999,34.942001,34.670361,202900
2020-03-03,35.139999,35.897999,33.962002,35.090000,34.817207,226200
2020-03-04,36.259998,37.060001,35.910000,37.020000,36.732204,356500
2020-03-05,36.180000,37.500000,36.099998,37.360001,37.069561,230400
2020-03-06,36.400002,37.845001,36.311001,37.685001,37.392036,336700
2020-03-09,35.990002,36.380001,33.699001,33.759998,33.497547,285000
2020-03-10,34.820000,34.957001,32.500000,34.080002,33.815063,418200
2020-03-11,33.470001,33.842999,31.850000,32.139999,31.890141,248700
2020-03-12,30.000000,30.000000,27.559999,27.719999,27.504503,611900
2020-03-13,29.170000,29.980000,26.000000,28.410000,28.189138,356700
2020-03-16,25.000000,26.325001,24.490000,24.500000,24.309536,322300
2020-03-17,25.120001,27.452000,24.000000,26.545000,26.338638,272600
2020-03-18,24.830000,26.590000,24.000000,25.020000,24.825493,376200
2020-03-19,24.910000,27.299999,24.639999,27.010000,26.800022,233000
2020-03-20,27.910000,28.750000,26.962000,27.160000,26.948856,323800
2020-03-23,27.070000,27.660000,26.000000,26.980000,26.770256,237300
2020-03-24,28.940001,30.049999,28.208000,29.990000,29.756855,464500
2020-03-25,30.600000,31.600000,29.691999,30.790001,30.550638,353700
2020-03-26,31.330000,33.000000,31.186001,32.625000,32.371372,481100
