Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,16.219999,16.375000,16.190001,16.282499,14.765005,971200
2011-01-04,16.365000,16.365000,16.200001,16.320000,14.799011,2058800
2011-01-05,16.272499,16.432501,16.262501,16.412500,14.882890,1644400
2011-01-06,16.450001,16.575001,16.424999,16.565001,15.021176,738400
2011-01-07,16.567499,16.594999,16.362499,16.512501,14.973568,1004800
2011-01-10,16.485001,16.605000,16.432501,16.580000,15.034777,385600
2011-01-11,16.650000,16.660000,16.547501,16.602501,15.055183,754800
2011-01-12,16.687500,16.760000,16.635000,16.750000,15.188936,888400
2011-01-13,16.747499,16.790001,16.690001,16.747499,15.186668,739600
2011-01-14,16.764999,16.912500,16.730000,16.912500,15.336287,998400
2011-01-18,16.797501,16.975000,16.772499,16.947500,15.368030,1268400
2011-01-19,16.995001,16.997499,16.752501,16.812500,15.245609,969600
2011-01-20,16.692499,16.707500,16.492500,16.635000,15.084654,1040400
2011-01-21,16.747499,16.757500,16.527500,16.542500,15.000773,487600
2011-01-24,16.540001,16.762501,16.510000,16.760000,15.198003,451600
2011-01-25,16.700001,16.815001,16.670000,16.809999,15.243340,891600
2011-01-26,16.852501,16.959999,16.799999,16.907499,15.331758,740800
2011-01-27,16.947500,17.082500,16.934999,17.022499,15.436041,726800
2011-01-28,17.055000,17.059999,16.567499,16.625000,15.075583,955600
2011-01-31,16.639999,16.735001,16.547501,16.732500,15.173069,569600
2011-02-01,16.842501,17.077499,16.825001,17.027500,15.440572,738000
2011-02-02,17.014999,17.122499,16.997499,17.075001,15.483642,461200
2011-02-03,17.059999,17.120001,16.924999,17.084999,15.492713,1016000
2011-02-04,17.112499,17.232500,17.062500,17.217501,15.612864,660400
2011-02-07,17.277500,17.422501,17.260000,17.337500,15.721678,832800
2011-02-08,17.327499,17.412500,17.297501,17.412500,15.789688,2292400
2011-02-09,17.377501,17.427500,17.315001,17.365000,15.746623,842000
2011-02-10,17.197500,17.315001,17.139999,17.264999,15.655935,736800
